Link_type Start_node Target_node
+ 1 201
+ 1 208
+ 2 204
+ 2 208
+ 3 391
+ 4 97
+ 4 141
0 4 221
+ 4 351
0 4 470
+ 4 530
0 5 146
0 5 383
+ 6 79
+ 7 79
+ 8 79
+ 9 19
+ 9 272
+ 9 273
+ 9 274
0 10 20
0 10 114
0 10 175
0 10 180
0 10 243
0 10 281
0 10 320
0 10 328
0 10 482
0 10 512
0 10 533
+ 11 108
+ 11 146
_ 11 194
0 11 504
+ 13 1
+ 13 2
+ 14 65
0 15 414
0 16 270
0 16 389
+ 17 198
+ 17 203
+ 17 208
+ 18 201
+ 18 202
+ 18 208
+ 19 478
0 20 239
0 20 401
0 20 422
0 21 55
_ 22 476
_ 22 509
0 23 29
0 23 222
+ 23 478
0 23 494
0 24 146
+ 25 92
+ 25 93
0 26 241
0 26 482
+ 27 379
+ 28 117
0 29 108
0 29 505
+ 30 90
_ 31 55
_ 32 90
_ 32 475
0 33 221
+ 33 530
_ 35 34
+ 36 34
+ 37 423
+ 37 446
0 38 429
+ 39 34
+ 40 10
+ 42 28
+ 42 116
+ 42 521
0 43 31
_ 43 55
+ 43 225
+ 43 291
+ 43 294
+ 44 50
+ 44 51
+ 45 50
+ 45 426
_ 46 44
+ 47 50
+ 47 51
_ 47 89
_ 48 308
_ 49 44
+ 49 124
_ 50 49
_ 50 56
_ 50 57
_ 51 49
_ 51 56
_ 51 57
+ 52 523
+ 53 204
+ 53 208
0 53 337
0 54 29
_ 54 53
0 54 108
+ 54 190
_ 54 308
_ 54 358
+ 54 371
+ 54 485
+ 55 266
0 55 409
+ 55 516
+ 56 49
+ 56 124
+ 58 49
_ 58 50
0 59 323
+ 59 465
+ 60 198
+ 60 201
+ 60 203
+ 60 208
+ 61 60
+ 62 285
+ 63 431
+ 63 434
+ 65 456
_ 66 68
_ 67 75
0 68 15
+ 68 44
_ 68 76
_ 68 117
_ 68 131
+ 68 194
_ 68 229
+ 68 241
_ 68 270
_ 68 278
+ 68 332
_ 68 339
+ 68 342
+ 68 498
_ 68 502
_ 68 514
_ 68 527
_ 69 8
_ 69 20
+ 69 70
+ 69 71
+ 69 73
+ 69 81
+ 69 140
+ 69 145
+ 69 146
+ 69 227
+ 69 326
+ 69 391
+ 69 422
+ 69 437
+ 69 479
_ 69 500
+ 69 502
+ 69 505
+ 69 532
+ 70 6
+ 70 12
_ 70 15
_ 70 48
+ 70 68
+ 70 75
+ 70 76
+ 70 77
_ 70 126
+ 70 130
+ 70 151
_ 70 241
+ 70 243
_ 70 281
_ 70 298
+ 70 303
+ 70 314
0 70 319
_ 70 339
+ 70 342
+ 70 349
+ 70 362
+ 70 363
+ 70 364
+ 70 399
+ 70 402
_ 70 420
_ 70 434
+ 70 436
+ 70 448
+ 70 451
+ 70 452
+ 70 456
_ 70 482
_ 70 528
0 71 323
_ 72 23
_ 72 66
_ 72 278
_ 72 339
_ 72 482
_ 72 514
0 73 323
+ 74 117
_ 74 502
0 75 20
+ 75 23
+ 75 117
+ 75 261
+ 75 278
_ 75 342
+ 75 346
_ 75 405
+ 75 422
+ 75 436
_ 75 449
+ 75 456
+ 75 463
_ 75 483
_ 75 502
+ 75 505
_ 75 507
_ 75 509
+ 75 520
0 75 528
+ 76 117
+ 76 118
_ 76 342
+ 76 502
+ 77 74
+ 77 76
+ 77 390
_ 78 74
_ 78 75
_ 78 76
+ 79 80
+ 79 166
+ 79 389
+ 80 450
_ 81 434
+ 82 55
_ 84 26
0 84 115
+ 84 136
+ 84 237
_ 84 332
+ 84 402
+ 84 509
+ 84 514
+ 84 515
0 85 84
+ 86 68
_ 86 139
_ 86 161
_ 86 210
_ 86 231
_ 86 284
_ 86 359
_ 86 388
_ 86 397
_ 86 405
_ 86 439
_ 87 263
_ 88 284
_ 88 397
+ 89 56
+ 89 86
_ 89 397
+ 90 86
+ 90 87
+ 90 88
+ 92 201
+ 92 202
+ 92 208
+ 93 201
+ 93 202
+ 93 208
_ 94 120
_ 94 154
_ 94 191
_ 94 221
_ 94 265
_ 94 382
_ 94 470
_ 94 485
_ 94 530
+ 95 28
+ 95 55
0 95 161
+ 95 163
+ 95 361
0 95 487
0 95 495
_ 95 516
+ 96 305
+ 96 347
+ 96 356
_ 97 315
+ 97 333
0 97 502
0 97 509
+ 97 514
+ 98 426
+ 99 98
+ 99 391
+ 99 404
+ 99 405
+ 100 365
_ 100 366
_ 100 367
+ 100 394
+ 103 504
_ 104 86
_ 104 88
_ 105 86
_ 105 88
0 106 254
0 106 329
0 106 331
0 106 339
0 108 70
0 109 243
_ 110 10
+ 111 239
0 112 476
0 112 509
+ 113 96
+ 113 423
+ 113 446
0 114 146
0 114 469
_ 115 318
+ 117 41
+ 117 95
+ 117 116
+ 117 517
+ 117 518
_ 118 117
_ 118 145
0 119 527
+ 120 63
0 120 83
+ 120 223
0 120 360
0 120 470
+ 121 527
+ 122 173
+ 122 360
_ 122 485
+ 123 208
_ 123 346
0 123 408
+ 124 30
+ 125 201
+ 125 204
+ 125 208
+ 126 201
+ 126 202
+ 126 205
+ 126 208
+ 127 201
+ 127 202
+ 127 208
+ 127 221
+ 128 391
+ 128 437
0 129 414
_ 130 509
_ 131 404
+ 132 30
_ 133 310
0 134 20
0 134 75
0 134 339
_ 135 128
_ 136 43
+ 136 357
0 138 323
+ 140 314
0 141 325
+ 141 435
+ 142 125
+ 142 126
+ 142 127
+ 143 201
+ 143 202
+ 143 208
_ 145 117
_ 145 144
_ 145 260
_ 145 261
0 147 527
_ 148 156
_ 148 514
_ 151 150
+ 152 34
+ 153 154
0 154 120
+ 154 221
+ 154 320
+ 154 347
+ 154 400
+ 154 470
0 155 457
0 156 524
+ 157 161
0 157 310
0 158 161
0 158 310
0 159 310
0 160 310
0 161 133
0 161 160
0 161 306
0 161 310
0 161 353
+ 162 156
+ 163 486
0 163 516
0 164 146
+ 165 143
+ 165 255
+ 165 307
+ 165 341
+ 166 431
+ 167 141
+ 167 435
+ 168 167
0 169 170
+ 169 382
0 169 413
0 169 414
0 169 462
+ 169 470
+ 169 511
+ 172 89
_ 173 20
0 173 83
+ 173 191
0 173 245
+ 173 470
+ 173 485
+ 174 172
0 175 26
+ 176 174
+ 177 55
+ 178 239
+ 179 239
+ 181 201
+ 181 204
+ 181 205
+ 181 208
+ 183 203
+ 183 208
+ 184 204
+ 184 208
+ 185 68
0 185 241
0 185 456
_ 186 89
+ 188 160
0 189 225
+ 191 23
+ 191 55
+ 191 270
+ 191 339
+ 191 400
0 191 413
0 191 461
+ 191 527
0 192 360
+ 192 382
_ 193 195
+ 194 102
0 194 196
+ 195 202
+ 195 208
_ 197 203
+ 198 399
+ 199 447
+ 200 419
+ 200 425
+ 200 447
_ 201 7
_ 201 8
+ 203 399
+ 204 6
+ 204 7
+ 204 8
_ 205 6
_ 205 8
_ 207 193
_ 208 6
+ 208 7
+ 208 48
+ 208 212
+ 208 245
+ 208 257
_ 208 346
+ 208 382
+ 208 399
+ 208 408
+ 208 435
+ 208 509
+ 209 442
_ 210 10
_ 210 90
0 211 196
0 211 217
0 211 527
+ 212 403
0 213 113
+ 214 342
0 214 469
+ 215 23
+ 215 250
+ 215 296
+ 215 298
+ 215 339
+ 216 217
+ 216 339
_ 218 216
+ 219 420
+ 220 382
+ 221 146
+ 221 192
+ 221 347
_ 221 418
+ 221 461
0 221 471
+ 221 480
0 221 484
+ 221 530
0 222 298
_ 223 96
_ 223 423
_ 223 446
0 224 323
_ 225 28
+ 225 31
_ 225 55
+ 225 117
+ 225 237
+ 225 300
_ 225 332
_ 225 409
_ 225 514
+ 226 400
+ 227 321
0 228 23
0 228 146
+ 228 456
_ 229 404
_ 231 64
+ 232 233
+ 233 220
+ 233 245
+ 233 470
+ 233 530
_ 234 334
_ 235 334
+ 236 115
_ 236 225
+ 236 390
_ 237 404
+ 238 244
+ 239 236
+ 239 419
0 239 424
+ 240 241
+ 241 69
0 241 228
0 242 219
0 243 55
0 243 96
0 243 423
_ 243 434
+ 244 220
+ 244 245
+ 244 246
+ 245 221
+ 245 325
+ 245 382
+ 246 382
+ 247 495
+ 248 137
_ 248 249
+ 248 288
+ 248 290
+ 248 305
+ 248 350
+ 248 436
0 248 447
+ 248 520
+ 249 28
+ 249 42
+ 249 58
+ 249 163
0 250 222
0 250 324
0 250 384
0 250 414
0 250 510
0 251 248
0 252 101
+ 252 403
+ 253 403
+ 254 403
+ 255 201
+ 255 202
+ 255 208
0 256 279
0 256 285
+ 256 426
+ 257 403
+ 258 403
+ 259 403
+ 260 403
0 260 414
+ 261 403
0 262 26
0 262 29
+ 262 171
0 264 233
+ 264 446
+ 265 400
+ 265 426
0 265 480
+ 265 530
+ 267 300
_ 268 110
+ 269 190
+ 270 69
0 270 479
+ 271 400
0 271 501
+ 271 527
+ 272 198
+ 272 203
+ 272 208
0 272 443
+ 273 201
+ 273 202
+ 273 208
0 273 443
+ 274 149
+ 274 201
+ 274 208
0 276 527
0 277 527
0 278 270
0 278 527
+ 279 95
+ 279 163
+ 279 261
+ 279 280
+ 279 281
+ 279 284
+ 279 306
+ 279 311
_ 279 333
_ 279 335
+ 279 398
+ 279 454
+ 279 461
_ 279 502
+ 279 514
_ 283 351
+ 285 279
+ 286 279
+ 286 410
+ 287 350
+ 289 350
+ 290 249
+ 291 249
+ 291 467
+ 292 288
+ 293 287
+ 294 287
+ 294 289
+ 296 198
+ 296 203
+ 296 208
0 296 228
+ 296 513
0 297 146
+ 297 203
+ 297 208
+ 298 201
+ 298 202
+ 298 208
0 299 84
_ 301 249
_ 301 279
_ 301 350
_ 302 249
_ 302 350
+ 303 317
+ 304 414
+ 305 288
+ 306 160
+ 307 201
+ 307 202
+ 307 208
+ 309 279
+ 309 285
+ 311 117
_ 313 381
+ 313 460
+ 314 509
0 315 299
_ 318 317
